index,mmd_score,std
1000,0.062494049221277236,0.0008582271571261918
5000,0.05288538672029972,0.0009868833155985929
10000,0.10768750607967376,0.0012799787083193018
15000,0.13570744246244432,0.0012197182962540233
20000,0.10192483514547347,0.0015906396628616866
25000,0.0622536201030016,0.0009760015317241988
30000,0.06480698175728321,0.0012643970731602016
35000,0.06359996423125266,0.0008742599641943039
40000,0.06550077944993972,0.0010299633843083588
45000,0.0674251601099968,0.0009682274800761195
50000,0.05649549625813961,0.0005655689319737015
55000,0.05167113728821278,0.0009689083820352258
60000,0.055313390493392935,0.0010463312064838161
65000,0.05492813773453235,0.0010119556837126591
70000,0.0487273171544075,0.000870259789488163
75000,0.04872177392244339,0.00085323407020382
80000,0.05327291078865528,0.0007430335110129241
85000,0.05663110613822937,0.0006938445287367535
90000,0.04679561778903008,0.0008682720067082813
95000,0.05390080735087395,0.0008326497577199773
100000,0.051512769609689715,0.0005939427584438787
